,name,type,ingredient,abv,volume,description,imageURL
82,오메기 맑은술,"양주, 청주","좁쌀, 햅쌀, 정제수, 누룩",16%,500ml,"오메기 맑은술은 맛이 진하고 부드러우며 달콤한 맛과 천연의 과실향이 나는 약주입니다. 제주도는 지정학적 특성상 논농사를 많이 지을 수 없어 쌀이 귀했고 대신 차조로 술을 빚어 왔습니다. 제주도의 특산품인 문고리처럼 생긴 떡을 쪄서 밑술을 하는데, 그 떡을 오메기떡이라해서 &amp;quot;오메기술&amp;quot;이라고도 불립니다. 오메기는 좁쌀(차조)을 일컫는 제주도의 방언으로 누룩과 함께 발효시켜 윗부분의 맑은 술만을 떠내 숙성시킨 술이 &amp;quot;오메기 맑은술&amp;quot;입니다.",https://thesool.com/common/imageView.do?targetId=PR00000328&targetNm=PRODUCT
83,오메기술,"양주, 청주","백미(국내산), 차조(국내산), 입국(국내산), 누룩, 효모",13%,375ml,오메기 떡을 사용하여 누룩과 함께 발효시킨 제주 전통 약주이다. 적당한 바디감과 독특한 과실향이 조화롭게 어우러져 화이트 와인처럼 느껴진다. 도수 또한 낮아서 부담없이 가볍게 즐기기에 좋은 술이다.,https://thesool.com/common/imageView.do?targetId=PR00000292&targetNm=PRODUCT
84,원조소곡주,"양주, 청주","찹쌀(36%), 누룩(3%)",16%,720ml,"우리나라에서 가장 오래된 술 중 하나인 한산 소곡주는 1500년 백제 황실의 전통을 간직한 술이며, 찹쌀과 누룩을 주원료로 100일간 발효하여 빚어집니다. 유구한 잠에서 깨어난 1500년 역사의 백제 명주로 입 안에서 은은한 향기가 퍼지는 신비로운 맛이며 술 맛이 달달하여 부담 없이 즐길 수 있습니다.",https://thesool.com/common/imageView.do?targetId=PR00000297&targetNm=PRODUCT
85,유기농이도 14,"양주, 청주","물, 유기농쌀(국내산),국[유기농쌀(국내산)], 우리밀누룩(국내산)",14%,750ml,위생적이고 과학적인 제조 공법을 사용하여 우리술품질인증을 받은 술로 유기농 햅쌀의 원료에서 오는 건강하고 부드러우면서 풍부한 자연의 향이 담긴 약주입니다.,https://thesool.com/common/imageView.do?targetId=PR00000296&targetNm=PRODUCT
86,이상헌 약주,"양주, 청주","아산쌀, 국(국내산 밀누룩), 정제수",18%,500ml,"이상헌 약주`는 충남 아산에서 재배된 `아산 맑은쌀`과 제조사 이가수불에서 직접 만든 국내산밀누룩, 그리고 물만으로 빚은 약주입니다. 순수 띄운 이가수불의 누룩 중 황국이 주종을 이룬 누룩만을 엄선하여 백여일간 발효하여 빚어냅니다. 발효된 술의 정수만을 이끌어낸 황금빛 프리미엄 약주입니다. 전 공정이 수작업으로 이루어져 하루 200병만 한정생산하고 있습니다.",https://thesool.com/common/imageView.do?targetId=PR00000679&targetNm=PRODUCT
87,일엽편주,"양주, 청주","찹쌀, 멥쌀(국내산), 누룩, 정제수, 밀 함유",15%,375ml,꽃술에 들어간 꽃은 시들거나 다치지 않게 하나 하나 손으로 수술을 정리해 세척한 뒤 빚은 술이다. 꽃술은 혀끝에서는 꿀 향이 코끝에서는 아카시아 향이 기분 좋게 퍼진다.,https://thesool.com/common/imageView.do?targetId=PR00000732&targetNm=PRODUCT
88,주교주,"양주, 청주","쌀(국내산), 누룩, 정제수, 정제효소, 효모",16%,500ml,주교주는 살균처리를 하지 않은 술이며 누룩향이 살아있고 단맛과 신맛의 밸런스가 잘 잡혀있는 생약주이다. 배다리도가에서 함께 보내드린 &#039;월계수잎&#039;을 언더락 잔에 띄어 시음하시면 향긋하고 부드러워진 jugyo(주교주)를 즐길 수 있다. 주교주는 배다리 술이라는 의미를 담은 한자이다.,https://thesool.com/common/imageView.do?targetId=PR00000734&targetNm=PRODUCT
89,지란지교,"양주, 청주","찹쌀,멥쌀,전통누룩(밀),정제수",17%,500ml,"순창에서 농사 지은 찹쌀과 멥쌀, 전통 누룩과 순창 암반수로 만든 생탁주로 일체의 첨가물 없이 빚어진 술이다. 술에 단맛과 산미가 조화로우며 목 넘김이 부드럽다. 신맛, 쓴맛, 단맛, 떫은 맛, 향기까지 다섯가지 오감의 맛이 난다.",https://thesool.com/common/imageView.do?targetId=PR00000289&targetNm=PRODUCT
90,청진주,"양주, 청주","찹쌀, 누룩, 정제수",16%,375ml,"""청진주""는 경기도 가평의 청정지역에서 좋은 쌀과 물을 사용하여 100일 이상 저온에서 발효와 숙성을 통해 완성된 술이다. 인공첨가물 없이 전통누룩만을 사용하여 발효하여 향과 맛을 낸 술이다. 잡내가 없고 단맛이 적으며 깔끔한 목 넘김에 술을 마시고 나서도 입에 남는 잔향이 경쾌한 술이다,",https://thesool.com/common/imageView.do?targetId=PR00000319&targetNm=PRODUCT
91,풍정사계 춘(春),"양주, 청주","찹쌀, 향온곡",15%,500ml,"‘춘’은 와인과 같은 과실향의 복합미가 일품입니다. 상큼한 사과향, 꽃향 등이 어우러져 봄의 향취를 자아냅니다. 특유의 산미가 인상적이며, 은은한 단맛, 목넘김이 깔끔한 술입니다. 차게 칠링하면 상큼함과 산미가 배가 되어 보다 풍부한 맛을 즐길 수 있습니다.",https://thesool.com/common/imageView.do?targetId=PR00000294&targetNm=PRODUCT
92,하얀연꽃 백련맑은 술,"양주, 청주","국내산 쌀, 백련잎",12%,"375ml,750ml",전통적으로 사찰에서 전수되어온 백련곡차의 현대적 복원으로 백련잎을 첨가한 연엽주계열 의전통약주이다. 당진 해나루쌀을 사용하여 술의 빛깔이 밝고 부드러우며 백련잎을 발효과정에 첨가하여 맛이 은은하고 부드러운 것이 특징이다.,https://thesool.com/common/imageView.do?targetId=PR00000357&targetNm=PRODUCT
93,하향주,"양주, 청주",찹쌀,17%,750ml,"하향주는 국화, 찹쌀, 누룩, 비슬산의 맑은 물 등을 사용하여 빚어 술에서 연꽃향기가 난다고 하여 붙여진 이름으로 신라고찰 유가사에서 빚기 시작해 1000년을 이어내려 온 술이다. 직접 제조한 누룩으로 100일을 발효하여 깊고 부드러운 맛이 일품이며 은은한 연꽃향이 입안에 맴돈다.",https://thesool.com/common/imageView.do?targetId=PR00000336&targetNm=PRODUCT
94,한산소곡주,"양주, 청주","찹쌀, 국내산 멥쌀",18%,"700ml,1800ml","백제의 1500년 전통이 깃든 한산소곡주는 국내전통주 가운데 가장 오랜 역사를 자랑하는 술로 유구한 세월만큼이나 그 맛도 널리 정평이 나있다. 찹쌀과 누룩을 주원료로 들국화, 메주콩, 생강, 홍고추 등 웰빙원료의 오묘한 조화 속에 100일간 숙성을 통해 빚어지는 한산소곡주는 감미로운향과 특유의 감칠맛 때문에 ‘앉은 뱅이술’이란 이름으로도 널리 알려져 있다. 한산소곡주(18%)와 이 술을 증류시킨 불소곡주(43%), 신세대 감각에 맞춘 백제소곡주(13%)등 다양한 제품이 생산된다.",https://thesool.com/common/imageView.do?targetId=PR00000338&targetNm=PRODUCT
95,해남진양주,"양주, 청주",국내산 찹쌀(해남),16%,375ml,진양주는 원래 조선시대 궁중에서 어주로 빚던 술로서 그 비법이 장흥임씨 집안에 전해지면서 대대로 해남전통민속주로 자리 잡게 되었다. 원료가 찹쌀인데다 보관도 어려워 서민들은 접하기 어려운 귀한 술이었다. 해남에서 생산한 친환경 무농약 찹쌀만을 사용하여 30일간 숙성을 통해 빚는 술로 찹쌀의 달콤하고 부드러운 맛과 은은한 향이 탁월하다.,https://thesool.com/common/imageView.do?targetId=PR00000345&targetNm=PRODUCT
96,황진이주,"양주, 청주","국내산 오미자, 국내산 산수유",13%,375ml,"지리산자락의 농가에서 전통적으로 빚어 마신 오미자함유약주를 발굴하여 전통비법을 최대한 계승하고 발전시켜 1998년산 오주를 제조 판매하였으며, 2006년 10월 맛과 주질을 향상시켜 황진이주로 브랜드화했다. 쌀과 누룩으로 발효한 구수한 맛의 술과 청정지역의 오미자와 산수유의 깊고 풍부한 맛, 그리고 환상의 붉은색이 멋들어지게 조화를 이룬 술이다. 알코올도수 13%의 낮은 도수로 남녀 모두에게 즐거움을 준다.",https://thesool.com/common/imageView.do?targetId=PR00000347&targetNm=PRODUCT
1,감그린 레귤러,과실주,감(국내산),12%,750ml,"""감그린 레귤러""는 경북 청도의 특산물인 씨 없는 감으로 만든 한국와인이다. 감 특유의 떫은 맛, 달콤한 맛, 신맛이 조화를 이루어 포도와인과는 다른 색다른 향과 풍미를 자아낸다. 감이 발효되었을 때 생기는 아로마향과 부케향이 특징이며 식전주로도 손색이 없어 동서양의 요리와도 잘 어울리는 감와인이다. 청도감와인은 2005년 부산APEC정상회의 만찬주, 특히 제17~18대 대통령 취임 건배주로 선정 되는 등 수 차례 정부 공식 행사주로 선정되었다.",https://thesool.com/common/imageView.do?targetId=PR00000426&targetNm=PRODUCT
2,감그린 스페셜,과실주,감(국내산),12%,750ml,"""감그린 스페셜""은 경북 청도의 특산물인 씨 없는 감으로 만든 한국와인이다. 감 특유의 떫은 맛, 달콤한 맛, 신맛이 조화를 이루어 포도와인과는 다른 색다른 향과 풍미를 자아낸다. 감이 발효되었을 때 생기는 아로마향과 부케향이 특징이며 식전주로도 손색이 없어 동서양의 요리와도 잘 어울리는 감와인이다. 청도감와인은 2005년 부산APEC정상회의 만찬주, 특히 제17~18대 대통령 취임 건배주로 선정 되는 등 수 차례 정부 공식 행사주로 선정되었다.",https://thesool.com/common/imageView.do?targetId=PR00000425&targetNm=PRODUCT
3,감그린 아이스와인,과실주,감(국내산),10%,375ml,"""감그린 아이스와인""는 경북 청도의 특산물인 씨 없는 감으로 만든 한국와인이다. 감 특유의 떫은 맛, 달콤한 맛, 신맛이 조화를 이루어 포도와인과는 다른 색다른 향과 풍미를 자아낸다. 감이 발효되었을 때 생기는 아로마향과 부케향이 특징이며 식전주로도 손색이 없어 동서양의 요리와도 잘 어울리는 감와인이다. 청도감와인은 2005년 부산APEC정상회의 만찬주, 특히 제17~18대 대통령 취임 건배주로 선정 되는 등 수 차례 정부 공식 행사주로 선정되었다.",https://thesool.com/common/imageView.do?targetId=PR00000424&targetNm=PRODUCT
4,감악산 산머루주,과실주,"머루원액 78.5%(경기 파주), 주정(국내산, 수입산)",12%,360ml,"머루는 쌍떡잎식물 갈매나무목 포도과에 속하는 덩굴식물로 우리나라, 일본, 중국 등지에 분포합니다. 감악산 산머루주는 감악산 주변 농가에서 무공해로 재배한 친환경 머루만을 사용하는 과실주입니다. 9월 경 잘 익은 머루를 수확해 줄기와 병든 머루 등 불순물을 제거한 뒤 착즙기를 이용해 제조합니다. 감악산 머루주는 친환경 재배 기술을 사용하는 데다 전통비법으로 만든 질그릇 항아리에 100% 머루만으로 술을 빚습니다. 단맛은 거의 없고 시큼하면서도 머루의 무거운 향이 입안에 오래 남습니다.",https://thesool.com/common/imageView.do?targetId=PR00000443&targetNm=PRODUCT
5,고도리 레드와인 스위트,과실주,MBA 머루포도(영천),12%,750ml,고도리 레드와인 스위트는 농산물우수관리(GAP)인증 100% 친환경 MBA 머루포도로 만들어집니다. 포도의 당도가 가장 높은 11월 초 서리가 내리기 시작하면 수확하여 별도의 당을 첨가하지 않고 순수 발효한 와인입니다. 영천에서 자란 MBA 머루포도를 25도의 고온에서 발효시켜 2차로 젖산 발효과정을 거칩니다. 풍부한 아로마틱 향이 풍부하고 1년의 오크통 숙성으로 깊은 오크향과 과실향이 어우러진 와인입니다.,https://thesool.com/common/imageView.do?targetId=PR00000445&targetNm=PRODUCT
6,고도리 화이트와인 드라이,과실주,거봉포도(영천),10.5%,750ml,"고도리 화이트와인 드라이는 농산물우수관리(GAP)인증 100% 친환경 거봉포도로 만들어집니다.. 포도의 당도가 가장 높은 10월 말에 수확하여 별도의 당을 첨가하지 않고 순수 발효한 와인으로 풍부한 산미와 달콤한 과일향을 발산합니다. 저온에서 6개월 이상 2차 숙성을 거쳐 주석산을 제거하고 젖산 발효시켜 아로마틱한 부케향이 풍부하고 식빵향, 레몬향, 풀잎향을 맡을 수 있습니다. 고도리 화이트와인은 2011년 대한민국 우리술품평회 과실주 부문 우수상, 2015년 한국와인 베스트컬렉션 골드 수상, 2016년 대한민국 주류대상 BEST OF BEST 수상, 2017년 아시아와인트로피 실버상, 2018년 대한민국주류대상 한국와인부문 대상 등을 수상하며 뛰어난 품질을 인정 받았습니다. 깔끔하고 감미롭고 여운이 길게 남는다는 평가를 받으며 국내 최고의 와인으로 꼽히고 있습니다.",https://thesool.com/common/imageView.do?targetId=PR00000446&targetNm=PRODUCT
7,고도리 화이트와인 스위트,과실주,거봉포도(영천),10.5%,750ml,고도리 화이트와인 스위트는 농산물우수관리(GAP)인증 100% 친환경 거봉포도로 만들어진다. 포도의 당도가 가장 높은 10월말에 수확하여 별도의 당을 첨가하지 않고 순수 발효한 와인으로 풍부한 산미와 달콤한 과일향을 발산한다.,https://thesool.com/common/imageView.do?targetId=PR00000431&targetNm=PRODUCT
8,고창선운산 땡큐복분자주,과실주,"복분자과실, 주정, 효모, 구연산, 정제수",13%,300ml,고창선운산에서 생산하는 &quot;고창선운산 땡큐복분자주&quot;는 고창군 심원면 황토 지역에서 서해안 해풍(海風)을 맞고 자란 복분자 중 당도와 과육이 뛰어난 1등급 수확 분으로 빚어 단맛과 신맛이 조화를 이루어 복분자 고유의 맛과 향이 뛰어나다. 다른 복분자주에 비해 특유의 달콤함을 가지고 있어 가볍게 머시기에 좋다.,https://thesool.com/common/imageView.do?targetId=PR00000430&targetNm=PRODUCT
9,고창선운산 땡큐블루베리주,과실주,"블루베리과실, 주정, 효모, 구연산, 정제수",13%,300ml,블루베리주는 고창군 심원면 황토 지역에서 서해안 해풍(海風)을 맞고 자란 블루베리 중 당도와 과육이 뛰어난 1등급 수확 분으로 빚어 단맛과 신맛이 조화를 이루어 블루베리 고유의 맛과 향이 뛰어나다. 비교적 낮은 알코올도수 13%로 와인처럼 가볍게 즐길 수 있는 제품이다.,https://thesool.com/common/imageView.do?targetId=PR00000427&targetNm=PRODUCT
10,고창선운산 복분자주 특1호,과실주,"복분자과실, 주정, 효모, 구연산, 정제수",15%,1800ml,고창선운산에서 생산하는 &quot;고창선운산 복분자주&quot;는 고창군 심원면 황토 지역에서 서해안 해풍(海風)을 맞고 자란 복분자 중 당도와 과육이 뛰어난 1등급 수확 분으로 빚어 단맛과 신맛이 조화를 이루어 복분자 고유의 맛과 향이 뛰어나다. 다른 복분자주에 비해 특유의 달콤함을 가지고 있어 가볍게 머시기에 좋다.,https://thesool.com/common/imageView.do?targetId=PR00000429&targetNm=PRODUCT
11,공주애 오디와인,과실주,"국내산 오디, 정제수, 주정, 과당, 효모",15%,375ml,"&quot;공주애 오디와인&quot;은 공주에서 재배한 오디를 원료로 저온발효, 저온숙성을 통해 빚은 오디가 듬뿍 담긴 과실주이다. 아름다운 빛깔과 깊은 풍미로 눈과 입이 즐거워지는 술로 오디의 달콤함과 부드러운 맛이 일품이다. 6월 중순 흑자색으로 익은 오디는 과실에 함유되어 있는 다양한 영양성분으로 기능성식품의 재료로서 각광 받아 왔다. 양지바른 산기슭에서 농부의 땀과 정성으로 자란 청정 오디를 전통기법으로 발효. 숙성시킨 제품이다.",https://thesool.com/common/imageView.do?targetId=PR00000423&targetNm=PRODUCT
12,그랑꼬또 M56,과실주,포도,12%,750ml,"그랑꼬또 M56은 포도 껍질을 같이 넣고 발효시키다가 어느 정도 우러나면 껍질을 제거하고 과육만으로 만든다. 레드와인과 화이트와인의 중간인 연하고 부드러운 핑크빛깔을 띠며, 상큼한 맛과 부드러운 탄닌맛을 내며 장미향을 지녀 연인들의 와인, 디저트 와인이라고도 불린다. 기존 캠벨얼리 재배방식을 달리해 만든 와인으로 산도가 높고 드라이하며 산딸기, 체리 등의 풍부한 과일향과 바디감의 균형이 잘 어우러진 매력적이고 깔끔한 로제와인이다.",https://thesool.com/common/imageView.do?targetId=PR00000457&targetNm=PRODUCT
13,그랑꼬또 레드와인,과실주,국내산 포도(캠벨얼리),12%,"750ml,375ml","껍질과 씨와 과육을 함께 넣어 스테인리스 통에서 발효 숙성되는 그랑꼬또 레드와인은 섬세한 과일향을 유지하며 신맛과 단맛의 균형이 조화를 이루어 육류 요리와 잘 어울리며, 은은하면서도 싱그러운 맛을 느낄수 있다.",https://thesool.com/common/imageView.do?targetId=PR00000462&targetNm=PRODUCT
14,그랑꼬또 로제와인,과실주,포도,12%,750ml,"그랑꼬또(Grnad Coteau)와인은 청정지역을 자랑하는 대부도의 큰 언덕에서 생산한다는 의미를 담고 있다. 바닷가의 뜨거운 열기와 습도, 낮과 밤의 심한 기온차, 미네랄이 풍부한 토양 등 포도재배에 필요한 천혜 입지조건을 갖춘 안산시 대부도에서 생산하는 와인이다. 그랑꼬또 로제와인은 한국인 입맛에 맞도록 많은 개발 끝에 탄생한 제품이다. 은은하고 달콤한 향, 첫맛은 달콤함, 다음은 청량감, 그리고 마지막엔 깔끔하면서도 약간 드라이한 맛이 골고루 느껴지는 제품이다. &quot;그랑꼬또 로제와인&quot;은 포도 껍질을 같이 넣고 발효시키다가 어느 정도 우러나면 껍질을 제거하고 과육만으로 만든다.",https://thesool.com/common/imageView.do?targetId=PR00000458&targetNm=PRODUCT
15,그랑꼬또 청수,과실주,포도,12%,750ml,그랑꼬또(GRAND COTEAU)와인은 청정지역을 자랑하는 대부도의 큰 언덕에서 생산한다는 의미를 담고 있습니다. 대부도의 바닷바람과 포도재배에 필요한 천혜입지조건을 갖춘 신토불이 자존심으로 우리입맛에 잘 맞고 음식과의 조화를 이룹니다. 청수는 국내에서 최초로 개발한 포도품종으로 풍부한 과실의 아로마가 뛰어나고 청량감과 미네랄등 과일향이 풍부합니다.,https://thesool.com/common/imageView.do?targetId=PR00000459&targetNm=PRODUCT
16,그랑티그르 CE2002,과실주,캠벨얼리 포도,12%,750ml,"""그랑티그르CE2002와인""은 제조사 ""월류원""에서 생산하는 최고등급의 와인이다. 당분을 추가하지 않는 순수포도발효를 원칙으로 탄생한 이 와인은 지금까지 캠벨이 가지고 있는 탄닌감의 부재, 부정적 폭시플레버향, 낮은 당도를 극복한 한국형 스틸와인이다. 무가당원칙으로도 12%라는 높은 알코올을 만들 수 있었던 방법은 주류면허지원센터의 ""포도 머스트를 동결 후 해동 처리하는 농축 과실주 제조방법""(특허등록 제 10-1043585호)을 이용하여 캠벨의 단점을 모두 제거하였기 때문이다. 출시와 동시에 와인품평회에서 좋은 성적을 거둠과 동시에 소비자에게도 호응을 받고 있는 제품이다.",https://thesool.com/common/imageView.do?targetId=PR00000400&targetNm=PRODUCT
17,그랑티그르 M1988,과실주,"캠벨얼리 포도, 오미자",12%,750ml,"""그랑티그르M1988와인""은 제조사 ""월류원""에서 생산하는 최고등급의 와인이다. 당분을 추가하지 않는 순수포도발효를 원칙으로 탄생한 이 와인은 지금까지 캠벨이 가지고 있는 탄닌감의 부재, 부정적 폭시플레버향, 낮은 당도를 극복한 한국형 스틸와인이다. 무가당원칙으로도 12%라는 높은 알코올을 만들 수 있었던 방법은 주류면허지원센터의 ""포도 머스트를 동결 후 해동 처리하는 농축 과실주 제조방법""(특허등록 제 10-1043585호)을 이용하여 캠벨의 단점을 모두 제거하였기 때문이다. 여기에 오미자를 브랜딩하여 제조사 월류원만의 독창적인 한국와인의 맛을 완성하였다.",https://thesool.com/common/imageView.do?targetId=PR00000399&targetNm=PRODUCT
18,꽃 와인,과실주,포도(92%(안동 청수 100%)),11.5%,"375ml,750ml","이육사 시인 고장 마을 주민들이 직접 키운 청포도로 생산한 와인으로, 원료로 쓰이는 품종인 &#039;청수&#039;는 국내에서 개발되어 우리 기후와 풍토에 적합하다.",https://thesool.com/common/imageView.do?targetId=PR00000814&targetNm=PRODUCT
19,끌로너와 스위트와인,과실주,머루,12%,750ml,"너와마을 주민이 직접 재배한 유기농, 무농약 머루로 정성스럽게 담근 고급 와인이다.",https://thesool.com/common/imageView.do?targetId=PR00000777&targetNm=PRODUCT
20,남산애 레드와인,과실주,"포도(캠벨얼리, MBA, 산머루)",14%,750ml,"""예인화원""에서 생산하는 ""남산애"", ""가을빛"" 와인에는 일체의 인공첨가물, 어떠한 보존제도 들어 있지 않다. 많은 와인들이 아황산, 소르빈산, POBB 등을 첨가하여 제품의 유통기한을 늘리는 등의 용도로 사용하는데 자연주의 수제 와인을 생산하고 있는 예인화원에서는 자연 그대로의 맛을 전달하고자 포도 100%로만 와인을 빚고 있다. 그럼에도 불구하고 수 많은 와인품평회에서 수상하며 맛과 품질 모두에서 인정 받고 있다. ""남산애 레드와인""은 늦 수확한 포도를 건조하여 당도를 높여 캠벨, MBA, 머루를 이상적인 배합으로 블랜딩한 와인이다. 알코올 도수는 14도이며 짙은 루비색을 띈다. 블랙베리향, 검은 과실향, 오리엔탈 스파이스의 미디엄 바디로 부드럽고 감칠맛이 있으며, 우아하고 긴 여운이 인상적인 와인이다.",https://thesool.com/common/imageView.do?targetId=PR00000398&targetNm=PRODUCT
21,남산애 포트와인,과실주,"포도(캠벨얼리, MBA, 산머루)",18.5%,750ml,"""예인화원""에서 생산하는 ""남산애"", ""가을빛"" 와인에는 일체의 인공첨가물, 어떠한 보존제도 들어 있지 않다. 많은 와인들이 아황산, 소르빈산, POBB 등을 첨가하여 제품의 유통기한을 늘리는 등의 용도로 사용하는데 자연주의 수제와인을 생산하고 있는 예인화원에서는 자연 그대로의 맛을 전달하고자 포도 100%로만 와인을 빚고 있다. 그럼에도 불구하고 수 많은 와인품평회에서 수상하며 맛과 품질 모두에서 인정 받고 있다. ""남산애 포트와인""은 국내에서 유일한 포트와인으로 늦 수확한 포도를 건조하여 당도를 높여 캠벨얼리, MBA, 산머루를 배합하여 브랜딩한 와인이다. 알코올 도수는 18.5도이며 짙은 루비색을 띈다. 블랙베리향, 검은 과실향, 오리엔탈 스파이스의 미디엄 바디로 부드럽고 감칠맛이 있으며, 우아하고 긴 여운이 인상적인 와인이다.",https://thesool.com/common/imageView.do?targetId=PR00000397&targetNm=PRODUCT
22,내장산 복분자주 지통1호,과실주,"복분자, 주정, 정제수, 설탕 등",16%,700ml,"내장산은 단풍으로 수려한 장관을 펼쳐놓기로 유명한 지역이지만, 내장산의 복분자역시 뒤쳐지지 않을 만큼 붉기로 유명하다. 이 내장산에서 오직 복분자로 승부하는 과실주를 생산하는 내장산 복분자 영농조합의 한국형 와인 내장산복분자주 지통1호. ""복분자"" 전문가로써, 전통적인 가양주 비법과 양조기법을 병행하여 한국형 와인의 입지를 다지고 있는 곳에서 제조된 술이다. 내장산복분자영농조합에서는 청정의 자연을 자랑하는 내장산 일대에서 재배하는 복분자만을 엄선하여 술을 빚고 있으며, 복분자의 특징을 최대한 살려서 한국형와인을 생산하고 있다. 복분자의 전문가들 답게 오직 복분자로 승부를 보는 그들의 방식에서 그 술 맛을 짐작할 수 있다.",https://thesool.com/common/imageView.do?targetId=PR00000396&targetNm=PRODUCT
23,너와머루와인,과실주,국내산 산머루 100%,12%,"500ml,700ml",너와집으로 유명한 해발 500미터 이상의 삼척 너와마을에서 생산되는 특산물인 머루 100%의 진한레드와인으로 약간 스위트한맛이다. 진하면서도 순수한 머루의 향기와 맛이 계속 입안에 머무르는 느낌을 받을 수 있다.,https://thesool.com/common/imageView.do?targetId=PR00000465&targetNm=PRODUCT
24,다래와인 3004,과실주,참다래,8%,375ml,"다래와인은 20℃를 넘지 않는 저온발효를 통해서 숙취의 주범인 메탄올(Methanol)과 아세트 알데이드(Acetaldehyde)를 줄이고 최고의 와인을 빚고 있다. 참다래에 풍부한 유기산(퀴닌산Qunic acid, 사과산 (Malic acid), 스트르산(Citric acid)등의 10종이 넘는 유기산) 특유의 상큼함이 고스란히 와인에 녹아 멋진 밸런스를 갖추고 있다. 또한 참다래 특유의 과일향이 어우러진 아로마(Aroma)와 저온발효와 저온숙성을 통해 생성되는 휘발성 에스테르(Ester)가 훌륭한 부케(Booqet)를 형성하여 황금빛 와인에 풍미를 더하고 있다. &quot;다래와인 3004&quot;는 2015년 대한민국 우리술품평회 과실주 부문에서 장려상을 수상한 제품으로 알코올 도수 8%로 부담없이 즐길 수 있는 제품이다.",https://thesool.com/common/imageView.do?targetId=PR00000395&targetNm=PRODUCT
25,다래와인 7004D,과실주,참다래,12%,750ml,"다래와인은 20℃를 넘지 않는 저온발효를 통해서 숙취의 주범인 메탄올(Methanol)과 아세트 알데이드(Acetaldehyde)를 줄이고 최고의 와인을 빚고 있다. 참다래에 풍부한 유기산(퀴닌산Qunic acid, 사과산 (Malic acid), 스트르산(Citric acid)등의 10종이 넘는 유기산) 특유의 상큼함이 고스란히 와인에 녹아 멋진 밸런스를 갖추고 있다. 또한 참다래 특유의 과일향이 어우러진 아로마(Aroma)와 저온발효와 저온숙성을 통해 생성되는 휘발성 에스테르(Ester)가 훌륭한 부케(Booqet)를 형성하여 황금빛 와인에 풍미를 더하고 있다. ""다래와인 7004D""는 참다래를 충분히 발효하여 알코올 함량이 12%로 단맛이 없으며 유기산이 강하게 느껴지고 뒷맛이 깔끔한 특징이 있다. 드라이와인으로 조금 차게해서 마시면 최적의 맛을 느낄 수 있다.",https://thesool.com/common/imageView.do?targetId=PR00000394&targetNm=PRODUCT
26,다래와인 7004S,과실주,참다래,8%,750ml,"다래와인은 20℃를 넘지 않는 저온발효를 통해서 숙취의 주범인 메탄올(Methanol)과 아세트 알데이드(Acetaldehyde)를 줄이고 최고의 와인을 빚고 있다. 참다래에 풍부한 유기산(퀴닌산Qunic acid, 사과산 (Malic acid), 스트르산(Citric acid)등의 10종이 넘는 유기산) 특유의 상큼함이 고스란히 와인에 녹아 멋진 밸런스를 갖추고 있다. 또한 참다래 특유의 과일향이 어우러진 아로마(Aroma)와 저온발효와 저온숙성을 통해 생성되는 휘발성 에스테르(Ester)가 훌륭한 부케(Booqet)를 형성하여 황금빛 와인에 풍미를 더하고 있다. ""다래와인 7004S""는 참다래의 달콤함과 감미로운 향, 산뜻한 풍미를 지니고 있고 알코올 도수 8%로 부담없이 즐길 수 있는 제품이다.",https://thesool.com/common/imageView.do?targetId=PR00000393&targetNm=PRODUCT
27,달 1614 스위트와인,과실주,"머루(국내산), 포도(국내산), 설탕, 메타중아황산칼륨(산화방지제), 효모",12%,750ml,"달1614는 덕유산 자락에서 달과 함께 맛있게 익어가는 머루와 포도를 보며 덕유산 밤, 달빛과 함께 사랑하는 연인과 또는 동반자와 함께 와인을 마시면서 로맨틱한 분위기가 무르익어가는 이야기를 담은 와인이다.",https://thesool.com/common/imageView.do?targetId=PR00000764&targetNm=PRODUCT
28,당당하리,과실주,"쌀(국산), 홍마늘(국산), 감초(국산), 효모, 개량누룩, 정제효소제, 정제수, 복분자(국산), 설탕, 올리고당, DL-사과산, 구연산, 무수이황산",15%%,375ml,인위적이 당도가 아닌 은은한 과실 그대로의 향만 담았습니다. 복분자와 마늘의 합이 잘 어우러지며 신맛은 거의 없습니다. 마신 후 입안의 텁텁함이 없어 깔끔함까지 느낄 수 있습니다.. 칵테일처럼 혹은 토닉워터와 8:2로 섞어 마셔도 보다 색다르게 즐길 수 있습니다. 차갑게 보관할 때가 술의 향이 더 좋습니다. 은은한 붉은 빛이 돋보일 수 있게 와인잔에 마셔도 색다른 분위기 연출이 가능합니다.,https://thesool.com/common/imageView.do?targetId=PR00000693&targetNm=PRODUCT
29,대관령 복분자주,과실주,국내산 복분자,16%,400ml,"송화향이 절정인 6~7월 백두대간 평창에서 수확한 복분자로 빚은 전통 과실주이다. 평창지역 복분자는 일교차가 큰 기후 특성으로 색상과 향이 진하고 깊은 맛을 지니고 있으며, 전통기법으로 발효. 숙성시킨 “대관령복분자주”에서 온몸에 스며드는 백두대간의 숨결을 느낄 수 있다.",https://thesool.com/common/imageView.do?targetId=PR00000392&targetNm=PRODUCT
